"『SuperLite 2000 テ一ブル 花札』 スタッフ";"""SuperLite 2000 Table Hanafuda"" Staff"
"プロデューサー";"Producer"
"戸田 淳一";"Junichi Toda"
"ス一パーバイザー";"Supervisor"
"橋都 幸一 (COMOLINK,Inc.)";"Koichi Hashito (COMOLINK,Inc.)"
"ス一パーバイザー";"Supervisor"
"佐藤 宏亮 (Ludic,Inc.)";"Hiroaki Sato (Ludic,Inc.)"
"コ一デイネーター";"Coordinator"
"其田 賢一 (Rideon,Inc.)";"Kenichi Sonoda (Rideon,Inc.)"
"ディレクター";"Director"
"田澤 一茂 (Rideon,Inc.)";"Kazuhige Tazawa (Rideon,Inc.)"
"ディレクター";"Director"
"金澤 幸太郎 (Rideon,Inc.)";"Kotaro Kanazawa (Rideon,Inc.)"
"こいこい・花合わせプログラム";"Koi-Koi/Hana-Awase Programming"
"小林 秀治 (Rideon,Inc.)";"Shuji Kobayashi (Rideon,Inc.)"
"システムプログラム";"System Programming"
"池上 智昭 (Rideon,Inc.)";"Tomoaki Ikegami (Rideon,Inc.)"
"おいちょかぶプログラム";"Oicho-Kabu Programming"
"遠藤 聡士 (Rideon,Inc.)";"Satoshi Endo (Rideon,Inc.)"
"総CGデザイン";"General CG Design"
"森 義昭 (Rideon,Inc.)";"Yoshiaki Mori (Rideon,Inc.)"
"サウンド";"Sound"
"佐藤 智志 (メディアクル一ズ)";"Satoshi Sato (MediaCruise)"
"品質管理";"Quality Control"
"横田 知彦";"Tomohiko Yokota"
"エグゼクティブプ口デューサー";"Executive Producer"
"吉成 隆杜";"Takamori Yoshinari"
